The Pussy Willow Catastrophe	Jaguars DST
The Rochester Aristocrats	Brees, Drew QB NO
The Rochester Aristocrats	Morris, Maurice RB DET 
The Rochester Aristocrats	Westbrook, Brian RB PHI 
The Rochester Aristocrats	Fitzgerald, Larry WR ARI
The Rochester Aristocrats	Johnson, Andre WR HOU
The Rochester Aristocrats	Owens, Terrell WR BUF 
The Rochester Aristocrats	Gates, Antonio TE SD
The Rochester Aristocrats	Hartley, Garrett K NO
The Rochester Aristocrats	Steelers DST
The Rochester Aristocrats	Bledsoe, Drew QB DAL
The Rochester Aristocrats	Thigpen, Tyler QB KC 
The Rochester Aristocrats	Choice, Tashard RB DAL
The Rochester Aristocrats	Gore, Frank RB SF 
The Rochester Aristocrats	Mason, Derrick WR BAL 
The Rochester Aristocrats	Cowboys DST
